Nodes;Mixed OLD;Lin Yen ;Eades;Huang et al.;Crossing Only OLD;Angular Only OLD;Mixed;Crossing Only;Angular Only;sd cr;cr_up;cr_down;sd ar;ar_up;ar_down;sd tr;tr_up;tr_down;a;b
74;50.1509433962264;48.8761904761905;42.4339622641509;41.5714285714286;81.2641509433962;49.7238095238095;50.1509433962264;82.0380952380952;49.7238095238095;78.4311216449876;160.469216883083;3.60697359310764;22.8975541346229;72.6213636584324;26.8262553891866;22.4903020502991;72.6412454465255;27.6606413459273;Nodes;=74
75;57.7222222222222;56.5;48.1111111111111;47.3240740740741;107.916666666667;58.3796296296296;58.2242990654206;108.81308411215;58.8691588785047;111.738925063564;220.552009175714;0;32.9562557729008;91.8254146514055;25.9129031056038;33.38909687493;91.6133959403505;24.8352021904906;Nodes;=75
76;60.5855855855856;60.2612612612613;51.4553571428572;50.7027027027027;112.9375;61.5495495495495;60.5855855855856;114.990909090909;61.5495495495495;110.171134221627;225.162043312536;4.81977486928216;25.6857720568973;87.2353216064468;35.8637774926522;27.7490856495482;88.3346712351338;32.8364999360373;Nodes;=76
77;56.625;55.7166666666667;46.9666666666667;45.8050847457627;88.3416666666667;57.7833333333333;56.9831932773109;91.2413793103448;58.1512605042017;81.0637559809138;172.305135291259;10.1776233294311;28.2295789864744;86.3808394906761;29.9216815177273;30.2641317250709;87.2473250023818;26.7190615522401;Nodes;=77
78;62.575;61.0333333333333;51.2416666666667;48.8632478632479;105.408333333333;63.5333333333333;62.575;106.294117647059;63.5333333333333;111.692856162098;217.986973809157;0;32.1430451286131;95.6763784619464;31.3902882047203;33.4454596142713;96.0204596142713;29.1295403857288;Nodes;=78
79;68.6236559139785;67.0215053763441;56.5806451612903;55.7173913043478;137.161290322581;67.752688172043;68.6236559139785;141.733333333333;67.752688172043;134.708240699519;276.441574032852;7.02509263381432;33.3273147909256;101.080002962969;34.4253733811175;39.5549947915333;108.178650705512;29.0686611224452;Nodes;=79
80;73.5588235294118;72.921568627451;61.3921568627451;60.1980198019802;138.176470588235;74.6930693069307;73.5588235294118;138.176470588235;74.6930693069307;131.283791445596;269.460262033832;6.89267914263903;33.1709941286834;107.864063435614;41.5220751782473;32.5133209013788;106.072144430791;41.045502628033;Nodes;=80
81;73.0674157303371;73.2888888888889;60.1868131868132;59.3956043956044;139.648351648352;74.0111111111111;73.0674157303371;146.068965517241;74.0111111111111;152.262761950598;298.331727467839;0;34.163024378802;108.174135489913;39.8480867323092;34.0163585236489;107.083774253986;39.0510572066882;Nodes;=81
82;75.3103448275862;72.3720930232558;62.2272727272727;61.0689655172414;133.909090909091;75.3333333333333;75.3103448275862;137.023255813954;75.3333333333333;118.516315753837;255.539571567791;18.5069400601165;30.947317074482;106.280650407815;44.3860162588513;34.3383410258161;109.648685853402;40.9720038017701;Nodes;=82
83;79.4302325581395;74.3023255813954;63.4186046511628;61.6860465116279;118.802325581395;79.2441860465116;79.4302325581395;118.802325581395;79.2441860465116;80.3333964348784;199.135722016274;38.4689291465169;34.0984512487735;113.342637295285;45.1457347977382;35.7253179647893;115.155550522929;43.7049145933502;Nodes;=83
84;78.1666666666667;75.7948717948718;62.9230769230769;62.474358974359;122.089743589744;76.9102564102564;78.1666666666667;126.973333333333;76.9102564102564;111.76072091186;238.734054245194;15.212612421473;32.0333373009229;108.943593711179;44.8769191093335;36.435904561887;114.602571228554;41.7307621047797;Nodes;=84
85;79.4794520547945;76.3561643835616;63.3835616438356;62.4383561643836;124.41095890411;76.5205479452055;79.4794520547945;126.138888888889;76.5205479452055;117.408196747658;243.547085636547;8.73069214123088;28.5497176426206;105.070265587826;47.9708303025848;33.0584626512177;112.537914706012;46.4209894035769;Nodes;=85
86;85.6;81.8115942028986;70.6857142857143;69.6231884057971;147.814285714286;86.1285714285714;85.6;147.814285714286;86.1285714285714;137.789620447643;285.603906161929;10.0246652666424;40.1269440103625;126.255515438934;46.0016274182089;36.0471050234693;121.647105023469;49.5528949765307;Nodes;=86
